group,phase,type,audio,vowel,match,same_onset,needs_match_onset,visual_target,correct,repetition,normed_midpoint,voiced_sel,voiceless_sel,match_sel,mismatch_sel,step,tone_step,path,code
b_group,exposure,crit_amb,Ballerina,NA,1,1,2,Ballerina,yes,1,NA,NA,NA,SAME,DIFFERENT,17,5,audio/ambiguous_b/Ballerina_Pallerina_1_15_05.wav,1
b_group,exposure,crit_amb,Balloon,NA,0,0,0,Enlarge,no,1,NA,NA,NA,SAME,DIFFERENT,15,5,audio/ambiguous_b/Balloon_Palloon_3_12_05.wav,2
b_group,exposure,crit_amb,Baloney,NA,1,1,2,Baloney,yes,1,NA,NA,NA,SAME,DIFFERENT,12,5,audio/ambiguous_b/Baloney_Paloney_1_10_05.wav,3
b_group,exposure,crit_amb,Banana,NA,1,1,2,Banana,yes,1,NA,NA,NA,SAME,DIFFERENT,10,5,audio/ambiguous_b/Banana_Panana_3_17_05.wav,4
b_group,exposure,crit_amb,Barely,NA,1,1,2,Barely,yes,1,NA,NA,NA,SAME,DIFFERENT,15,5,audio/ambiguous_b/Barely_Parely_1_15_05.wav,5
b_group,exposure,crit_amb,Barn,NA,0,1,1,Bark,no,1,NA,NA,NA,SAME,DIFFERENT,20,5,audio/ambiguous_b/Barn_Parn_1_20_05.wav,6
b_group,exposure,crit_amb,Barren,NA,1,1,2,Barren,yes,1,NA,NA,NA,SAME,DIFFERENT,20,5,audio/ambiguous_b/Barren_Parren_3_20_05.wav,7
b_group,exposure,crit_amb,Belly,NA,0,1,1,Berry,no,1,NA,NA,NA,SAME,DIFFERENT,20,5,audio/ambiguous_b/Belly_Pelly_3_20_05.wav,8
b_group,exposure,crit_amb,Benign,NA,1,1,2,Benign,yes,1,NA,NA,NA,SAME,DIFFERENT,14,5,audio/ambiguous_b/Benign_Penign_3_14_05.wav,9
b_group,exposure,crit_amb,Biannual,NA,1,1,2,Biannual,yes,1,NA,NA,NA,SAME,DIFFERENT,7,5,audio/ambiguous_b/Biannual_Piannual_3_07_05.wav,10
b_group,exposure,crit_amb,Billion,NA,0,1,1,Bitter,no,1,NA,NA,NA,SAME,DIFFERENT,18,5,audio/ambiguous_b/Billion_Pillion_3_18_05.wav,11
b_group,exposure,crit_amb,Billionaire,NA,1,1,2,Billionaire,yes,1,NA,NA,NA,SAME,DIFFERENT,8,5,audio/ambiguous_b/Billionaire_Pillionaire_3_08_05.wav,12
b_group,exposure,crit_amb,Blue,NA,0,0,0,Colleague,no,1,NA,NA,NA,SAME,DIFFERENT,17,5,audio/ambiguous_b/Blue_Plue_3_17_05.wav,13
b_group,exposure,crit_amb,Boil,NA,1,1,2,Boil,yes,1,NA,NA,NA,SAME,DIFFERENT,15,5,audio/ambiguous_b/Boil_Poil_1_15_05.wav,14
b_group,exposure,crit_amb,Boom,NA,1,1,2,Boom,yes,1,NA,NA,NA,SAME,DIFFERENT,15,5,audio/ambiguous_b/Boom_Poom_1_15_05.wav,15
b_group,exposure,crit_amb,Brain,NA,1,1,2,Brain,yes,1,NA,NA,NA,SAME,DIFFERENT,19,5,audio/ambiguous_b/Brain_Prain_3_19_05.wav,16
b_group,exposure,crit_amb,Brewery,NA,1,1,2,Brewery,yes,1,NA,NA,NA,SAME,DIFFERENT,13,5,audio/ambiguous_b/Brewery_Prewery_1_13_05.wav,17
b_group,exposure,crit_amb,Brown,NA,1,1,2,Brown,yes,1,NA,NA,NA,SAME,DIFFERENT,11,5,audio/ambiguous_b/Brown_Prown_3_11_05.wav,18
b_group,exposure,crit_amb,Burial,NA,1,1,2,Burial,yes,1,NA,NA,NA,SAME,DIFFERENT,17,5,audio/ambiguous_b/Burial_Purial_1_17_05.wav,19
b_group,exposure,crit_amb,Burrow,NA,1,1,2,Burrow,yes,1,NA,NA,NA,SAME,DIFFERENT,9,5,audio/ambiguous_b/Burrow_Purrow_3_09_05.wav,20
b_group,exposure,crit_unamb,Parallel,NA,1,1,2,Parallel,yes,1,NA,NA,NA,SAME,DIFFERENT,0,0,audio/unambiguous_p/Barallel_Parallel_4_00.wav,21
b_group,exposure,crit_unamb,Parlor,NA,0,0,0,Neutral,no,1,NA,NA,NA,SAME,DIFFERENT,0,0,audio/unambiguous_p/Barlor_Parlor_4_00.wav,22
b_group,exposure,crit_unamb,Pawn,NA,1,1,2,Pawn,yes,1,NA,NA,NA,SAME,DIFFERENT,0,0,audio/unambiguous_p/Bawn_Pawn_2_00.wav,23
b_group,exposure,crit_unamb,Peninsula,NA,1,1,2,Peninsula,yes,1,NA,NA,NA,SAME,DIFFERENT,0,0,audio/unambiguous_p/Beninsula_Peninsula_2_00.wav,24
b_group,exposure,crit_unamb,Perform,NA,1,1,2,Perform,yes,1,NA,NA,NA,SAME,DIFFERENT,0,0,audio/unambiguous_p/Berform_Perform_2_00.wav,25
b_group,exposure,crit_unamb,Pioneer,NA,0,1,1,Pillow,no,1,NA,NA,NA,SAME,DIFFERENT,0,0,audio/unambiguous_p/Bioneer_Pioneer_4_00.wav,26
b_group,exposure,crit_unamb,Planner,NA,1,1,2,Planner,yes,1,NA,NA,NA,SAME,DIFFERENT,0,0,audio/unambiguous_p/Blanner_Planner_2_00.wav,27
b_group,exposure,crit_unamb,Plea,NA,0,1,1,Pick,no,1,NA,NA,NA,SAME,DIFFERENT,0,0,audio/unambiguous_p/Blea_Plea_2_00.wav,28
b_group,exposure,crit_unamb,Plyer,NA,1,1,2,Plyer,yes,1,NA,NA,NA,SAME,DIFFERENT,0,0,audio/unambiguous_p/Blyer_Plyer_2_00.wav,29
b_group,exposure,crit_unamb,Pollen,NA,1,1,2,Pollen,yes,1,NA,NA,NA,SAME,DIFFERENT,0,0,audio/unambiguous_p/Bollen_Pollen_2_00.wav,30
b_group,exposure,crit_unamb,Polymer,NA,0,1,1,Pottery,no,1,NA,NA,NA,SAME,DIFFERENT,0,0,audio/unambiguous_p/Bolymer_Polymer_2_00.wav,31
b_group,exposure,crit_unamb,Prayer,NA,1,1,2,Prayer,yes,1,NA,NA,NA,SAME,DIFFERENT,0,0,audio/unambiguous_p/Brayer_Prayer_2_00.wav,32
b_group,exposure,crit_unamb,Preliminary,NA,0,0,0,Temple,no,1,NA,NA,NA,SAME,DIFFERENT,0,0,audio/unambiguous_p/Breliminary_Preliminary_2_00.wav,33
b_group,exposure,crit_unamb,Premier,NA,1,1,2,Premier,yes,1,NA,NA,NA,SAME,DIFFERENT,0,0,audio/unambiguous_p/Bremier_Premier_2_00.wav,34
b_group,exposure,crit_unamb,Primal,NA,1,1,2,Primal,yes,1,NA,NA,NA,SAME,DIFFERENT,0,0,audio/unambiguous_p/Brimal_Primal_2_00.wav,35
b_group,exposure,crit_unamb,Prime,NA,1,1,2,Prime,yes,1,NA,NA,NA,SAME,DIFFERENT,0,0,audio/unambiguous_p/Brime_Prime_2_00.wav,36
b_group,exposure,crit_unamb,Prior,NA,1,1,2,Prior,yes,1,NA,NA,NA,SAME,DIFFERENT,0,0,audio/unambiguous_p/Brior_Prior_2_00.wav,37
b_group,exposure,crit_unamb,Prowl,NA,1,1,2,Prowl,yes,1,NA,NA,NA,SAME,DIFFERENT,0,0,audio/unambiguous_p/Browl_Prowl_2_00.wav,38
b_group,exposure,crit_unamb,Pry,NA,1,1,2,Pry,yes,1,NA,NA,NA,SAME,DIFFERENT,0,0,audio/unambiguous_p/Bry_Pry_2_00.wav,39
b_group,exposure,crit_unamb,Pylon,NA,1,1,2,Pylon,yes,1,NA,NA,NA,SAME,DIFFERENT,0,0,audio/unambiguous_p/Bylon_Pylon_2_00.wav,40
b_group,exposure_set,fill_word,Aisle,NA,0,0,0,Outfit,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Aisle_1.wav,41
b_group,exposure,fill_word,Ally,NA,0,1,1,Agile,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Ally_1.wav,42
b_group,exposure,fill_word,Area,NA,0,1,1,Arrogant,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Area_1.wav,43
b_group,exposure,fill_word,Arena,NA,1,1,2,Arena,yes,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Arena_1.wav,44
